TEAM_NAME,GP,W,L,W_PCT,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,POSS,PIE,SEASON,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS
Vancouver Grizzlies,82,23,59,0.5,98.2,104.2,-6.0,0.61,1.47,17.9,0.312,0.688,0.5,0.161,0.473,0.518,93.03,7662.0,0.465,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington Wizards,82,19,63,0.5,99.4,106.2,-6.8,0.61,1.18,15.6,0.312,0.688,0.5,0.161,0.473,0.518,93.97,7695.0,0.453,2000-01,0.0,0.0,0.443,0.0,0.0,0.352,0.0,0.0,0.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlanta Hawks,82,33,49,0.5,100.4,104.8,-4.4,0.606,1.3,15.8,0.317,0.683,0.5,0.156,0.477,0.52,93.21,7678.0,0.465,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Celtics,82,49,33,0.5,102.1,99.9,2.2,0.606,1.55,16.4,0.317,0.683,0.5,0.156,0.477,0.52,93.6,7738.0,0.5,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlotte Hornets,82,44,38,0.5,102.9,101.8,1.2,0.606,1.53,16.7,0.317,0.683,0.5,0.156,0.477,0.52,90.93,7480.0,0.513,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicago Bulls,82,21,61,0.5,97.2,106.2,-9.1,0.606,1.45,17.3,0.317,0.683,0.5,0.156,0.477,0.52,91.56,7549.0,0.436,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland Cavaliers,82,29,53,0.5,103.4,107.0,-3.6,0.606,1.58,17.8,0.317,0.683,0.5,0.156,0.477,0.52,91.31,7553.0,0.482,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dallas Mavericks,82,57,25,0.5,110.3,106.0,4.3,0.606,1.83,16.9,0.317,0.683,0.5,0.156,0.477,0.52,94.36,7823.0,0.517,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denver Nuggets,82,27,55,0.5,100.3,106.6,-6.3,0.606,1.51,17.0,0.317,0.683,0.5,0.156,0.477,0.52,91.35,7537.0,0.442,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Detroit Pistons,82,50,32,0.5,103.2,100.9,2.3,0.606,1.48,17.3,0.317,0.683,0.5,0.156,0.477,0.52,91.38,7495.0,0.523,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden State Warriors,82,21,61,0.5,101.5,107.1,-5.6,0.606,1.24,15.3,0.317,0.683,0.5,0.156,0.477,0.52,95.75,7890.0,0.456,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Houston Rockets,82,28,54,0.5,101.6,106.9,-5.4,0.606,1.28,14.6,0.317,0.683,0.5,0.156,0.477,0.52,89.56,7456.0,0.458,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana Pacers,82,42,40,0.5,102.8,102.4,0.4,0.606,1.51,17.6,0.317,0.683,0.5,0.156,0.477,0.52,93.13,7721.0,0.51,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Angeles Clippers,82,39,43,0.5,104.3,104.7,-0.4,0.606,1.41,16.3,0.317,0.683,0.5,0.156,0.477,0.52,91.21,7524.0,0.495,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Angeles Lakers,82,58,24,0.5,108.0,100.4,7.6,0.606,1.81,17.5,0.317,0.683,0.5,0.156,0.477,0.52,93.32,7691.0,0.549,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Memphis Grizzlies,82,23,59,0.5,96.6,104.7,-8.0,0.606,1.33,16.9,0.317,0.683,0.5,0.156,0.477,0.52,92.55,7629.0,0.456,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miami Heat,82,36,46,0.5,97.3,99.0,-1.7,0.606,1.37,16.5,0.317,0.683,0.5,0.156,0.477,0.52,88.47,7346.0,0.501,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milwaukee Bucks,82,41,41,0.5,105.3,105.6,-0.3,0.606,1.6,17.7,0.317,0.683,0.5,0.156,0.477,0.52,91.51,7591.0,0.502,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minnesota Timberwolves,82,50,32,0.5,107.5,104.1,3.4,0.606,1.82,18.4,0.317,0.683,0.5,0.156,0.477,0.52,91.72,7578.0,0.529,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Jersey Nets,82,52,30,0.5,102.4,98.1,4.3,0.606,1.67,18.2,0.317,0.683,0.5,0.156,0.477,0.52,93.2,7707.0,0.537,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New York Knicks,82,30,52,0.5,100.4,104.6,-4.2,0.606,1.44,16.7,0.317,0.683,0.5,0.156,0.477,0.52,90.78,7487.0,0.466,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orlando Magic,82,44,38,0.5,105.6,104.1,1.5,0.606,1.61,16.8,0.317,0.683,0.5,0.156,0.477,0.52,94.4,7805.0,0.497,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philadelphia 76ers,82,43,39,0.5,100.5,98.7,1.8,0.606,1.3,15.8,0.317,0.683,0.5,0.156,0.477,0.52,90.32,7424.0,0.52,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phoenix Suns,82,36,46,0.5,101.8,102.6,-0.7,0.606,1.53,17.1,0.317,0.683,0.5,0.156,0.477,0.52,92.74,7663.0,0.486,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portland Trail Blazers,82,49,33,0.5,105.9,102.6,3.3,0.606,1.64,18.0,0.317,0.683,0.5,0.156,0.477,0.52,90.55,7482.0,0.518,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sacramento Kings,82,61,21,0.5,107.9,99.7,8.1,0.606,1.74,17.7,0.317,0.683,0.5,0.156,0.477,0.52,96.74,7951.0,0.552,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Antonio Spurs,82,58,24,0.5,105.4,98.5,6.9,0.606,1.39,16.0,0.317,0.683,0.5,0.156,0.477,0.52,91.06,7528.0,0.554,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seattle SuperSonics,82,45,37,0.5,107.3,104.1,3.3,0.606,1.71,18.3,0.317,0.683,0.5,0.156,0.477,0.52,90.35,7468.0,0.522,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toronto Raptors,82,42,40,0.5,101.1,101.7,-0.6,0.606,1.52,16.9,0.317,0.683,0.5,0.156,0.477,0.52,90.02,7414.0,0.496,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utah Jazz,82,44,38,0.5,103.8,102.9,0.9,0.606,1.48,18.4,0.317,0.683,0.5,0.156,0.477,0.52,91.75,7582.0,0.53,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington Wizards,82,37,45,0.5,102.9,104.5,-1.6,0.606,1.61,16.6,0.317,0.683,0.5,0.156,0.477,0.52,89.93,7395.0,0.486,2001-02,0.0,0.0,0.445,0.0,0.0,0.352,0.0,0.0,0.753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atlanta Hawks,82,35,47,0.5,100.4,104.2,-3.8,0.602,1.23,16.0,0.314,0.686,0.5,0.16,0.474,0.519,92.63,7683.0,0.483,2002-03,0.0,0.0,0.442,0.0,0.0,0.347,0.0,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boston Celtics,82,44,38,0.5,100.0,100.5,-0.6,0.602,1.37,15.5,0.314,0.686,0.5,0.16,0.474,0.519,91.95,7602.0,0.48,2002-03,0.0,0.0,0.442,0.0,0.0,0.347,0.0,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chicago Bulls,82,30,52,0.5,99.1,104.2,-5.1,0.602,1.28,16.5,0.314,0.686,0.5,0.16,0.474,0.519,94.76,7857.0,0.457,2002-03,0.0,0.0,0.442,0.0,0.0,0.347,0.0,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cleveland Cavaliers,82,17,65,0.5,95.2,105.1,-9.9,0.602,1.14,15.7,0.314,0.686,0.5,0.16,0.474,0.519,95.32,7870.0,0.431,2002-03,0.0,0.0,0.442,0.0,0.0,0.347,0.0,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dallas Mavericks,82,60,22,0.5,109.3,101.0,8.3,0.602,1.94,17.3,0.314,0.686,0.5,0.16,0.474,0.519,93.75,7726.0,0.546,2002-03,0.0,0.0,0.442,0.0,0.0,0.347,0.0,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denver Nuggets,82,17,65,0.5,91.2,100.1,-8.9,0.602,1.15,16.3,0.314,0.686,0.5,0.16,0.474,0.519,92.11,7568.0,0.425,2002-03,0.0,0.0,0.442,0.0,0.0,0.347,0.0,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Detroit Pistons,82,50,32,0.5,102.4,98.2,4.2,0.602,1.47,16.2,0.314,0.686,0.5,0.16,0.474,0.519,88.26,7318.0,0.525,2002-03,0.0,0.0,0.442,0.0,0.0,0.347,0.0,0.0,0.758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
